form	lemma	POS
home	òme	NOUN
ni	ni	CCONJ
doulou	dolor	NOUN
Uno	un	DET
Bérges	verge	NOUN
s'	el	PRON
es	èsser	AUX
ajagudo	ajaire	VERB
D'	de	ADP
un	un	DET
enfantet	enfantet	NOUN
rizent	rire	VERB
et	e	CCONJ
bél	bèl	ADJ
Diu	Dieu	PROPN
de	de	ADP
toutjoun	totjorn	ADV
,	,	PUNCT
home	òme	NOUN
noubél	novèl	ADJ
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
uno	un	DET
cansou	cançon	NOUN
poulido	polit	ADJ
Per	per	ADP
saluda	saludar	VERB
qui	qui	PRON
nous	nos	PRON
douno	donar	VERB
la	lo	DET
bido	vida	NOUN
.	.	PUNCT
Haupalala	haupalalà	INTJ
couratge	coratge	NOUN
Coumpaignous	companhon	NOUN
Nostre	nòstre	DET
Seignet	senhet	PROPN
es	èsser	AUX
ouéy	uèi	ADV
nascut	nàisser	VERB
per	per	ADP
nous	nos	PRON
.	.	PUNCT
Dins	dins	ADP
uno	un	DET
granjo	granja	NOUN
de	de	ADP
pages	pagès	NOUN
Diu	Dieu	PROPN
ben	venir	VERB
tasta	tastar	VERB
nostro	nòstre	DET
miséro	misèra	NOUN
,	,	PUNCT
Oun	ont	PRON
l'	lo	DET
acoumplido	acomplir	VERB
Bérges	verge	PROPN
es	èsser	AUX
Lebadou	levador	NOUN
,	,	PUNCT
serbicial	servical	NOUN
et	e	CCONJ
méro	mèra	NOUN
,	,	PUNCT
Et	e	CCONJ
Jousép	Josèp	PROPN
le	lo	DET
boun	bon	ADJ
houmenet	omenet	NOUN
Brésso	breçar	VERB
sul	sus+lo	ADP+DET
fe	fen	NOUN
le	lo	DET
Poutounet	potonet	NOUN
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
uno	un	DET
cansou	cançon	NOUN
poulide	polit	ADJ
Per	per	ADP
saluda	saludar	VERB
qui	qui	PRON
nous	nos	PRON
douno	donar	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Atal	aital	ADV
le	lo	DET
gran	grand	ADJ
Diu	Dieu	PROPN
s'	el	PRON
acatéc	acatar	VERB
Per	per	ADP
Adam	Adam	PROPN
beouze	veuse	NOUN
d'	de	ADP
innoucenço	innocéncia	NOUN
,	,	PUNCT
Adam	Adam	PROPN
que	qui	PRON
l'	lo	DET
ambiciu	ambicion	NOUN
pourtéc	portar	VERB
A	a	ADP
mordre	mordre	VERB
le	lo	DET
frut	fruch	NOUN
de	de	ADP
sciençô	sciéncia	NOUN
Sur	sus	ADP
que	qui	PRON
le	lo	DET
Diable	Diable	PROPN
dan	amb	ADP
soun	son	DET
croc	cròc	NOUN
Nous	nos	PRON
dibio	dever	VERB
chaupi	chaupir	VERB
dins	dins	ADP
le	lo	DET
foc	fuòc	NOUN
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
uno	un	DET
cansou	cançon	NOUN
poulido	polit	ADJ
,	,	PUNCT
etc	etc	X
.	.	PUNCT
L'	lo	DET
Home	òme	NOUN
fayt	far	VERB
per	per	ADP
admiraciu	admiracion	NOUN
sur	sus	ADP
tout	tot	DET
so	çò	PRON
qu'	qui	PRON
es	èsser	AUX
jouts	jos	ADP
l'	lo	DET
Astre	astre	NOUN
blounde	blond	ADJ
,	,	PUNCT
soul	sol	ADJ
animal	animal	NOUN
de	de	ADP
perfecciu	perfeccion	NOUN
,	,	PUNCT
Petit	petit	ADJ
image	imatge	NOUN
del	de+lo	ADP+DET
gran	grand	ADJ
Mounde	monde	NOUN
Fourec	èsser	AUX
coundannat	condamnar	VERB
quand	quand	SCONJ
Adam	Adam	PROPN
Pequec	pecar	VERB
à	a	ADP
soun	son	DET
et	e	CCONJ
nostre	nòstre	DET
Dam	amb	ADP
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
De	de	ADP
prumié	prumièr	ADJ
,	,	PUNCT
tout	tot	DET
so	çò	PRON
que	qui	PRON
les	lo	DET
Céls	cèl	NOUN
Le	lo	DET
Foc	fuòc	NOUN
,	,	PUNCT
la	lo	DET
Mar	mar	NOUN
,	,	PUNCT
la	lo	DET
Terro	tèrra	NOUN
,	,	PUNCT
l'	lo	DET
Ayre	aire	NOUN
,	,	PUNCT
Estujon	estutjar	VERB
dins	dins	ADP
lours	lor	DET
grumicéls	grumicèl	NOUN
Ero	èsser	AUX
coumandat	comandar	VERB
de	de	ADP
ly	el	PRON
playre	plaire	VERB
;	;	PUNCT
Tout	tot	PRON
dibiô	dever	VERB
pourta	portar	VERB
libromen	liurament	ADV
Les	lo	DET
mors	mòrs	NOUN
de	de	ADP
soun	son	DET
coumandomen	comandament	NOUN
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Mes	mas	CCONJ
quand	quand	SCONJ
el	el	PRON
desplazec	desplaire	VERB
à	a	ADP
Diu	Dieu	PROPN
,	,	PUNCT
Tout	tot	PRON
intréc	entrar	VERB
en	en	ADP
camp	camp	NOUN
de	de	ADP
bataillos	batalhar	NOUN
Le	lo	DET
boun-heur	bonur	NOUN
li	el	PRON
dissec	dire	VERB
adiu	adieu	ADV
,	,	PUNCT
La	lo	DET
mort	mòrt	NOUN
arribéc	arribar	VERB
an	amb	ADP
sa	son	DET
daillo	dalha	NOUN
,	,	PUNCT
Et	e	CCONJ
de	de	ADP
doulous	dolor	NOUN
un	un	DET
regimen	regiment	NOUN
Espalléc	espatlar	VERB
soun	son	DET
countentomen	contentament	NOUN
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Douncos	donc	ADV
bous	vos	PRON
siôts	èsser	AUX
le	lo	DET
benbengut	ben+venir	VERB
Diu	Dieu	PROPN
beray	verai	ADJ
fil	filh	NOUN
de	de	ADP
Diu	Dieu	PROPN
le	lo	DET
Péro	pèra	PROPN
,	,	PUNCT
Home	òme	NOUN
beray	verai	ADJ
qu’	qui	PRON
abéts	aver	AUX
boulgut	voler	VERB
Naysse	nàisser	VERB
d'	de	ADP
uno	un	DET
Piucélo	piucèl	ADJ
méro	mèra	NOUN
Et	e	CCONJ
pourta	portar	VERB
del	de+lo	ADP+DET
cél	cèl	PROPN
le	lo	DET
perdou	perdon	NOUN
Al	a+lo	ADP+DET
miserable	miserable	ADJ
peccadou	pecador	NOUN
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Bous	vos	PRON
n'	non	ADV
abéts	aver	AUX
pas	pas	ADV
tant	tant	ADV
de	de	ADP
passiu	passion	NOUN
Que	que	SCONJ
quand	quand	SCONJ
uno	un	DET
armo	arma	NOUN
malautisso	malautis	ADJ
Flaco	flacar	VERB
dejouts	dejots	ADP
la	lo	DET
tentaciu	temptacion	NOUN
,	,	PUNCT
Bous	vos	PRON
mandets	mandar	VERB
à	a	ADP
l'	lo	DET
houro	ora	NOUN
metisso	meteis	ADJ
Las	lo	DET
puos	pua	NOUN
d'	de	ADP
un	un	DET
foulze	fólzer	NOUN
alucat	alucar	VERB
Per	per	ADP
l'	el	PRON
abisma	abismar	VERB
dan	amb	ADP
soun	son	DET
peccat	pecar	NOUN
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Bostro	vòstre	DET
pietat	pietat	NOUN
bol	voler	VERB
soulomen	solament	ADV
Que	que	SCONJ
nous	nos	PRON
tournen	tornar	VERB
à	a	ADP
la	lo	DET
carriéro	carrièra	NOUN
De	de	ADP
bostre	vòstre	DET
sant	sant	ADJ
coumandomen	comandament	NOUN
,	,	PUNCT
Afi	afin	ADV
qu'	que	SCONJ
à	a	ADP
nostro	nòstre	DET
néit	nuèch	NOUN
darriéro	darnièr	ADJ
Ajan	aver	AUX
part	part	NOUN
à	a	ADP
bostro	vòstre	DET
fabou	favor	NOUN
,	,	PUNCT
Gran	grand	ADJ
Diu	Dieu	PROPN
tout	tot	ADV
pietadous	pietadós	ADJ
et	e	CCONJ
bou	bon	ADJ
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Hélas	ailàs	INTJ
;	;	PUNCT
quand	quand	SCONJ
moun	mon	DET
tens	temps	NOUN
siô	èsser	AUX
serbit	servir	VERB
Boun	bon	ADJ
seignou	senhor	NOUN
,	,	PUNCT
fazéts	far	VERB
que	qui	PRON
bous	vos	PRON
placio	plaire	VERB
Que	que	SCONJ
per	per	ADP
éstre	èsser	AUX
toutjoun	totjorn	ADV
rabit	ravir	VERB
sur	sus	ADP
la	lo	DET
beautat	beutat	NOUN
de	de	ADP
bostro	vòstre	DET
facio	fàcia	NOUN
Moun	mon	DET
esprit	esperit	NOUN
siô	èsser	AUX
menat	menar	VERB
al	a+lo	ADP+DET
cél	cèl	PROPN
Per	per	ADP
la	lo	DET
ma	man	NOUN
de	de	ADP
moun	mon	DET
boun	bon	ADJ
Angél	àngel	NOUN
.	.	PUNCT
ça	çai	ADV
ça	çai	ADV
trien	tirar	VERB
uno	un	DET
cansou	cançon	NOUN
poulido	polit	ADJ
,	,	PUNCT
Per	per	ADP
saluda	saludar	VERB
qui	qui	PRON
nous	nos	PRON
douno	donar	VERB
la	lo	DET
bido	vida	NOUN
.	.	PUNCT
Haupalala	haupalalà	INTJ
couratge	coratge	NOUN
Coumpaignous	companhon	NOUN
Nostre	nòstre	DET
seignet	senhet	NOUN
es	èsser	AUX
ouéy	uèi	ADV
nascut	nàisser	VERB
per	per	ADP
nous	nos	PRON
God_F1-24		
AUTRE	autre	PRON
,	,	PUNCT
Per	per	ADP
le	lo	DET
jour	jorn	NOUN
des	de+lo	ADP+DET
Reys	rei	NOUN
.	.	PUNCT
Un	un	DET
Pastou	pastor	NOUN
ben	venir	VERB
de	de	ADP
Hierusalém	Jerusalèm	PROPN
,	,	PUNCT
et	e	CCONJ
dits	dire	VERB
à	a	ADP
sous	son	DET
Coumpaignous	companhon	NOUN
.	.	PUNCT
De	de	ADP
noubélos	novèla	NOUN
,	,	PUNCT
Efans	enfant	NOUN
,	,	PUNCT
en	en	ADP
benen	venir	VERB
de	de	ADP
la	lo	DET
bilo	vila	NOUN
E	èsser	AUX
bist	véser	VERB
passa	passar	VERB
tres	4	DET
Reys	rei	NOUN
d'	de	ADP
uno	un	DET
faysou	faiçon	NOUN
gentilo	gentil	ADJ
,	,	PUNCT
Et	e	CCONJ
demandon	demandar	VERB
per	per	ADP
tout	tot	DET
l'	lo	DET
houstalet	ostalet	NOUN
benazit	benasir	ADJ
Que	qui	PRON
le	lo	DET
Rey	rei	PROPN
d'	de	ADP
Israël	Israèl	PROPN
per	per	ADP
palays	palais	NOUN
à	aver	AUX
cauzit	causir	VERB
.	.	PUNCT
Qualqu'	qualque	DET
un	un	PRON
à	aver	AUX
decelat	decelar	VERB
que	que	SCONJ
porton	portar	VERB
per	per	ADP
estrenos	estrena	NOUN
,	,	PUNCT
Tres	5	DET
Brustietos	brustieta	NOUN
d'	de	ADP
Encens	encens	NOUN
,	,	PUNCT
d'	de	ADP
Or	aur	NOUN
,	,	PUNCT
et	e	CCONJ
de	de	ADP
Myrro	mirra	NOUN
plenos	plen	ADJ
Que	qui	PRON
li	el	PRON
ban	anar	VERB
humblomen	umblament	ADV
ufri	ofrir	VERB
,	,	PUNCT
digomendiu	dire+ieu+Dieu	INTJ
,	,	PUNCT
Que	que	SCONJ
coufésson	confessar	VERB
deja	dejà	ADV
qu'	que	SCONJ
el	el	PRON
es	èsser	AUX
Rey	rei	NOUN
,	,	PUNCT
home	òme	NOUN
,	,	PUNCT
Diu	Dieu	PROPN
.	.	PUNCT
Elis	el	PRON
parlon	parlar	VERB
sampa	çampà	ADV
de	de	ADP
l'	lo	DET
Efantet	enfantet	NOUN
aymable	aimable	ADJ
Que	qui	PRON
nous	nos	PRON
aus	autre	ADJ
l'	lo	DET
autre	autre	ADJ
jour	jorn	NOUN
troubéguen	trobar	VERB
à	a	ADP
l'	lo	DET
estable	estable	NOUN
,	,	PUNCT
A	a	ADP
qui	qui	PRON
Peyret	Peiret	PROPN
dounéc	donar	VERB
un	un	DET
Aignelet	anhelet	NOUN
pla	plan	ADV
fayt	far	VERB
,	,	PUNCT
Et	e	CCONJ
jou	ieu	PRON
,	,	PUNCT
sense	sens	ADP
reprochi	repròchi	NOUN
,	,	PUNCT
un	un	DET
picharrou	picharron	NOUN
de	de	ADP
layt	lach	NOUN
.	.	PUNCT
Posco	poder	VERB
dounc	donc	ADV
ouéy	uèi	ADV
metis	meteis	ADV
uno	un	DET
ta	tant	ADV
bélo	bèl	ADJ
troupo	tropa	NOUN
Hurousomen	urosament	ADV
trouba	trobar	VERB
le	lo	DET
bél	bèl	ADJ
efan	enfant	NOUN
de	de	ADP
poupo	popa	NOUN
,	,	PUNCT
Mentre	mentre	ADV
que	que	SCONJ
de	de	ADP
nous	nos	PRON
aus	autre	ADJ
quadun	cadun	PRON
le	el	PRON
pregara	pregar	VERB
De	de	ADP
nous	nos	PRON
salba	salvar	VERB
l'	lo	DET
esprit	esperit	NOUN
quand	quand	SCONJ
le	lo	DET
cos	còs	NOUN
mourira	morir	VERB
.	.	PUNCT
God_F2-19		
NOUEL	noèl	NOUN
NOUBELET	novelet	ADJ
.	.	PUNCT
Ane	anar	VERB
Coumpaignous	companhon	NOUN
coutizen	cotisar	VERB
Touto	tot	DET
la	lo	DET
troupo	tropa	NOUN
rejouïdo	rejoïr	VERB
,	,	PUNCT
Et	e	CCONJ
saluden	saludar	VERB
d'	de	ADP
un	un	DET
bél	bèl	ADJ
prezen	present	NOUN
Le	lo	DET
souleillet	solelhet	NOUN
de	de	ADP
nostro	nòstre	DET
bido	vida	NOUN
Doun	qui	PRON
la	lo	DET
clartat	clartat	NOUN
ouéy	uèi	ADV
resplandis	resplandir	VERB
Per	per	ADP
nous	nos	PRON
fa	far	VERB
beze	véser	VERB
Paradis	paradís	PROPN
.	.	PUNCT
Soubengo	sovenir	VERB
nous	nos	PRON
à	a	ADP
la	lo	DET
boun'	bon	ADJ
houro	ora	NOUN
Coussi	cossí	ADV
Diu	Dieu	PROPN
,	,	PUNCT
le	lo	DET
Dalphi	Dalfin	PROPN
del	de+lo	ADP+DET
cél	cèl	PROPN
Nasquec	nàisser	VERB
per	per	ADP
l'	lo	DET
armo	arma	NOUN
pecadouro	pecador	NOUN
sense	sens	ADP
couissi	coissin	NOUN
ni	ni	CCONJ
subrecél	subrecèl	NOUN
.	.	PUNCT
Ane	anar	VERB
Coumpaignous	companhon	NOUN
,	,	PUNCT
etc	etc	X
.	.	PUNCT
B'	ben	ADV
es	èsser	AUX
pla	plan	ADV
taillat	talhar	VERB
de	de	ADP
péyro	pèira	NOUN
marmo	marme	NOUN
Qui	qui	PRON
noun	non	ADV
a	aver	VERB
cent	101	DET
ressentimens	ressentiment	NOUN
,	,	PUNCT
Et	e	CCONJ
nou	non	ADV
recep	recebre	VERB
de	de	ADP
cor	còr	NOUN
et	e	CCONJ
d'	de	ADP
armo	arma	NOUN
L'	lo	DET
aunou	onor	NOUN
de	de	ADP
sous	son	DET
coumandomens	comandament	NOUN
.	.	PUNCT
Ane	anar	VERB
Coumpaignous	companhon	NOUN
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Que	que	SCONJ
quadun	cadun	PRON
soun	son	DET
pecat	pecar	NOUN
delaisse	delaissar	VERB
,	,	PUNCT
Le	lo	DET
pa	pan	NOUN
del	de+lo	ADP+DET
cél	cèl	PROPN
nous	nos	PRON
ben	venir	VERB
nouiri	noirir	VERB
,	,	PUNCT
Et	e	CCONJ
sul	sus+lo	ADP+DET
fe	fen	NOUN
l'	lo	DET
Agnelet	anhelet	NOUN
bol	voler	VERB
naysse	nàisser	VERB
Que	qui	PRON
sur	sus	ADP
la	lo	DET
Crouts	crotz	NOUN
bouldra	voler	VERB
mouri	morir	VERB
.	.	PUNCT
Ane	anar	VERB
Coumpaignous	companhon	NOUN
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Anen	anar	VERB
y	i	PRON
touts	tot	PRON
en	en	ADP
alegresso	alegressa	NOUN
Douna	donar	VERB
li	el	PRON
nostro	nòstre	DET
boulountat	volontat	NOUN
,	,	PUNCT
Le	lo	DET
boun	bon	ADJ
cor	còr	NOUN
meno	menar	VERB
la	lo	DET
ritchesso	richessa	NOUN
Daban	davant	ADP
le	lo	DET
Rey	rei	PROPN
de	de	ADP
la	lo	DET
bountat	bontat	NOUN
.	.	PUNCT
Ane	anar	VERB
Coumpaignous	companhon	NOUN
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Atal	aital	ADV
d'	de	ADP
amb'	amb	ADP
uno	un	DET
bélo	bèl	ADJ
estreno	estrena	NOUN
Le	el	PRON
biguen	véser	VERB
les	lo	DET
Pastourelets	pastorelet	NOUN
,	,	PUNCT
Quadun	cadun	PRON
pourtéc	portar	VERB
sa	son	DET
brésso	breçar	VERB
pleno	plen	ADJ
De	de	ADP
datils	dàtil	NOUN
,	,	PUNCT
d'	de	ADP
uoous	uòu	NOUN
o	o	CCONJ
de	de	ADP
poulets	polet	NOUN
.	.	PUNCT
Ane	anar	VERB
Coumpaignous	companhon	NOUN
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Atal	aital	ADV
tres	6	DET
brabes	brave	ADJ
Reys	rei	NOUN
partiguen	partir	VERB
Del	de+lo	ADP+DET
Païs	país	NOUN
oun	ont	PRON
la	lo	DET
Myrro	mirra	NOUN
creys	créisser	VERB
,	,	PUNCT
Que	qui	PRON
