tokens,lemma,POS
Dei,@latin,FW
.,.,PUNCT
Audiuimus,@latin,FW
vnusquisque,@latin,FW
linguam,@latin,FW
nostram,@latin,FW
in,@latin,FW
qua,@latin,FW
nati,@latin,FW
sumus,@latin,FW
.,.,PUNCT
Aquelo,aquel,DET
counsideraciu,consideracion,NOUN
seriô,èsser,VERB
suffisento,sufisent,ADJ
",",",",PUNCT
per,per,ADP
satisfa,satisfar,VERB
à,a,ADP
l',lo,DET
estounomen,estonament,NOUN
deis,de+lo,ADP+DET
esprits,esperit,NOUN
delicats,delicat,ADJ
",",",",PUNCT
que,qui,PRON
pouyriôn,poder,VERB
trouba,trobar,VERB
estrange,estrange,ADJ
l',lo,DET
effét,efet,NOUN
de,de,ADP
bostro,vòstre,DET
caritat,caritat,NOUN
",",",",PUNCT
MOUNSEIGNOU,monsenhor,NOUN
",",",",PUNCT
quand,quand,SCON
abéts,aver,AUX
approubat,aprobar,VERB
",",",",PUNCT
mémos,mèma,ADV
ambe,amb,ADP
le,lo,DET
sagél,sagelh,NOUN
de,de,ADP
bostro,vòstre,DET
benerablo,venerable,ADJ
presenço,presença,NOUN
",",",",PUNCT
é,e,CCON
audienço,adiença,NOUN
",",",",PUNCT
las,lo,DET
predicacius,predicacion,NOUN
de,de,ADP
bostres,vòstre,DET
Missiounaris,missionari,NOUN
",",",",PUNCT
faitos,far,VERB
al,a+lo,ADP+DET
lengatje,lengatge,NOUN
d',de,ADP
aqueste,aqueste,DET
payis,país,NOUN
.,.,PUNCT
Aco',aquò,PRON
s,èsser,VERB
un,un,DET
trét,trèt,NOUN
digne,digne,ADJ
de,de,ADP
bostre,vòstre,DET
zélo,zèl,NOUN
",",",",PUNCT
o,o,CCON
(,(,PUNCT
per,per,ADP
dire,dire,VERB
claromen,clarament,ADV
en,en,ADP
nostro,nòstre,DET
lengo,lenga,NOUN
),),PUNCT
de,de,ADP
bostro,vòstre,DET
santo,sant,ADJ
jalousiô,jalosia,NOUN
qu',qui,PRON
abéts,aver,VERB
pe,per,ADP
-,-,PUNCT
l',lo,DET
salut,salut,NOUN
de,de,ADP
tantoi,tant,ADV
d',de,ADP
Armos,arma,NOUN
que,qui,PRON
Diu,Dieu,PROPN
bous,vos,PRON
à,aver,VERB
coumesos,cometre,VERB
",",",",PUNCT
que,qui,PRON
soun,èsser,VERB
la,lo,DET
pu,pus,ADV
gran,grand,ADJ
part,part,NOUN
as,a+lo,ADP+DET
camps,camp,NOUN
",",",",PUNCT
é,e,CCON
pei,per+lo,ADP+DET
bilatges,vilatge,NOUN
foro,fòra,ADV
de,de,ADP
la,lo,DET
Bilo,vila,NOUN
:,:,PUNCT
coumo,coma,ADV
tabe,tanben,ADV
au,el,PRON
soun,èsser,VERB
coumunomen,comunament,ADV
lai,lo,DET
deis,de+lo,ADP+DET
autres,autre,DET
Diocéses,diocèsi,NOUN
.,.,PUNCT
So,çò,PRON
que,qui,PRON
nous,nos,PRON
fa,far,VERB
desira,desirar,VERB
en,en,ADP
passan,passar,VERB
",",",",PUNCT
qu',que,SCON
à,a,ADP
bostr',vòstre,DET
exemple,exemple,NOUN
",",",",PUNCT
toutis,tot,DET
les,lo,DET
autres,autre,DET
Prelats,prelat,NOUN
d',de,ADP
aqueste,aqueste,DET
payis,país,NOUN
",",",",PUNCT
ajon,aver,VERB
la,lo,DET
mémo,mèma,DET
pensado,pensar,NOUN
pe,per,ADP
-,-,PUNCT
l,lo,DET
be,ben,NOUN
de,de,ADP
lour,lor,DET
troupéls,tropèl,NOUN
",",",",PUNCT
que,qui,PRON
Diu,Dieu,PROPN
bous,vos,PRON
à,aver,AUX
dounat,donar,VERB
perde,perdre,VERB
del,de+lo,ADP+DET
bostre,vòstre,PRON
",",",",PUNCT
en,en,ADP
so,çò,PRON
que,qui,PRON
régardo,regardar,VERB
la,lo,DET
pus,pus,ADV
aisado,aisar,ADJ
é,e,CCON
proufitablo,profitable,ADJ
instrucciu,instruccion,NOUN
del,de+lo,ADP+DET
simple,simple,ADJ
popple,pòble,NOUN
.,.,PUNCT
Cérto,cèrta,ADV
be,ben,ADV
semblao,semblar,VERB
qu',que,SCON
éro,èsser,VERB
tens,temps,NOUN
que,que,SCON
-,-,PUNCT
l',lo,DET
paure,paure,ADJ
mounde,monde,NOUN
d',de,ADP
aqueste,aqueste,DET
payis,país,NOUN
",",",",PUNCT
pousquesso,poder,VERB
dire,dire,VERB
autapla,autant+plan,ADV
coumo,coma,ADV
le,lo,PRON
de,de,ADP
las,lo,DET
autros,autre,DET
nacius,nacion,NOUN
",",",",PUNCT
Francesos,francès,ADJ
",",",",PUNCT
Espaignolos,espanhòl,ADJ
",",",",PUNCT
Itailhénos,italièn,ADJ
",",",",PUNCT
etc,etc,ABR
.,.,PUNCT
Nous,nos,PRON
augén,ausir,VERB
parla,parlar,VERB
en,en,ADP
nostro,nòstre,DET
proprio,pròpre,ADJ
lengo,lenga,NOUN
",",",",PUNCT
de,de,ADP
lai,lo,DET
grandous,grandor,NOUN
de,de,ADP
Diu,Dieu,PROPN
",",",",PUNCT
é,e,CCON
deis,de+lo,ADP+DET
Articles,article,NOUN
de,de,ADP
nostro,nòstre,DET
cresenço,cresença,NOUN
.,.,PUNCT
Car,car,CCON
quin,quin,DET
dreit,drech,NOUN
pu,pus,ADV
gran,grand,ADJ
abion,aver,VERB
lei,lo,DET
bilátges,vilatge,NOUN
de,de,ADP
las,lo,DET
autros,autre,DET
nacius,nacion,NOUN
",",",",PUNCT
que,que,ADV
lei,lo,DET
nostres,nòstre,DET
;,;,PUNCT
d',de,ADP
éstr',èsser,AUX
enseignats,ensenhar,VERB
",",",",PUNCT
catechisats,catechisar,VERB
",",",",PUNCT
é,e,CCON
predicats,predicar,VERB
en,en,ADP
lour,lor,DET
lengo,lenga,NOUN
maternalo,maternal,ADJ
?,?,PUNCT
E,e,CCON
quin,quin,DET
defaut,defaut,NOUN
abiô,aver,VERB
le,lo,DET
lengatge,lengatge,NOUN
de,de,ADP
Toulouso,Tolosa,PROPN
",",",",PUNCT
per,per,ADP
n',non,ADV
éstre,èsser,VERB
pas,pas,ADV
digne,digne,ADJ
de,de,ADP
pourta,portar,VERB
la,lo,DET
paraulo,paraula,NOUN
de,de,ADP
Diu,Dieu,PROPN
",",",",PUNCT
autapla,autant+plan,ADV
coumo,coma,ADV
touti',tot,DET
les,lo,DET
autres,autre,PRON
?,?,PUNCT
Més,mas,CCON
qu',que,PRON
abiô,aver,AUX
fait,far,VERB
le,lo,DET
paure,paure,ADJ
popple,pòble,NOUN
d',de,ADP
aqueste,aqueste,DET
payis,país,NOUN
",",",",PUNCT
que,que,SCON
nou,non,ADV
meritésso,meritar,VERB
pas,pas,ADV
la,lo,DET
counsoulaciu,consolacion,NOUN
é,e,CCON
l',lo,DET
aunou,onor,NOUN
",",",",PUNCT
d',de,ADP
augi,ausir,VERB
parla,parlar,VERB
claromen,clarament,ADV
en,en,ADP
sa,son,DET
proprio,pròpre,ADJ
lengo,lenga,NOUN
",",",",PUNCT
d',de,ADP
un,un,DET
affa,afar,NOUN
ta,tant,ADV
gran,grand,ADJ
coumo,coma,ADV
es,èsser,VERB
le,lo,PRON
del,de+lo,ADP+DET
salut,salut,NOUN
eternal,eternal,ADJ
?,?,PUNCT
A,a,ADP
beray,verai,ADV
dire,dire,VERB
",",",",PUNCT
l',lo,DET
esperienço,experiença,NOUN
que,qui,PRON
mostro,mostrar,VERB
sabe,saber,VERB
may,mai,ADV
que,que,SCON
la,lo,DET
soulo,sol,ADJ
raciocinaciu,raciocinacion,NOUN
deis,de+lo,ADP+DET
omes,òme,NOUN
d',de,ADP
esprit,esperit,NOUN
",",",",PUNCT
nous,nos,PRON
enseigno,ensenhar,NOUN
que,que,SCON
nou,non,ADV
y,i,PRON
a,aver,VERB
lengatge,lengatge,NOUN
que,qui,PRON
doune,donar,VERB
may,mai,ADV
din,dins,ADP
le,lo,DET
cor,còr,NOUN
",",",",PUNCT
é,e,CCON
que,qui,PRON
toque,tocar,VERB
may,mai,ADV
al,a+lo,ADP+DET
biu,viu,ADJ
",",",",PUNCT
que,que,ADV
le,lo,DET
maternal,maternal,ADJ
:,:,PUNCT
permoque,permor+que,SCON
coumo,coma,ADV
natural,natural,ADJ
à,a,ADP
l',lo,DET
auditou,auditor,NOUN
",",",",PUNCT
nou,non,ADV
porto,portar,VERB
amb',amb,ADP
el',el,PRON
cap,cap,NOUN
de,de,ADP
sutjet,subjèct,NOUN
de,de,ADP
dibertissomen,divertissament,NOUN
:,:,PUNCT
é,e,CCON
laisso,laissar,VERB
touto,tot,DET
la,lo,DET
forço,fòrça,NOUN
de,de,ADP
l',lo,DET
attenciu,atencion,NOUN
en,en,ADP
sa,son,DET
libertat,libertat,NOUN
;,;,PUNCT
per,per,ADP
pensa,pensar,VERB
soulomen,solament,ADV
à,a,ADP
so,çò,PRON
que,qui,PRON
ly,el,PRON
-,-,PUNCT
es,èsser,AUX
perpausat,perpausar,VERB
.,.,PUNCT
E,e,CCON
de,de,ADP
fait,far,NOUN
per,per,ADP
l',lo,DET
ourdinari,ordinari,ADJ
",",",",PUNCT
quan,quand,SCON
dos,2,DET
persounos,persona,NOUN
d',de,ADP
aqueste,aqueste,DET
payis,país,NOUN
parlon,parlar,VERB
ensemble,ensemble,ADV
à,a,ADP
bouno,bon,ADJ
scien,escien,NOUN
",",",",PUNCT
de,de,ADP
qualqu',qualque,DET
affa,afar,NOUN
que,qui,PRON
les,lo,PRON
toco,tocar,VERB
;,;,PUNCT
encaro,encara,ADV
que,que,SCON
sion,èsser,AUX
entenduts,entendre,NOUN
al,a+lo,ADP+DET
Frances,francès,NOUN
;,;,PUNCT
n',non,ADV
a,aver,VERB
gardo,garda,NOUN
que,que,SCON
peracô,per+aquò,ADV
parlen,parlar,VERB
en,en,ADP
francimandejan,francimandejar,VERB
;,;,PUNCT
més,mas,CCON
tout,tot,ADV
de,de,ADP
bou,bon,ADJ
on,òm,PRON
bey,véser,VERB
que,que,SCON
s',el,PRON
y,i,PRON
fan,far,VERB
",",",",PUNCT
an,aver,VERB
le,lo,DET
pur,pur,ADJ
lengatge,lengatge,NOUN
de,de,ADP
lour,lor,DET
mayre,maire,NOUN
.,.,PUNCT
Que,que,SCON
s',el,PRON
es,èsser,VERB
questiu,question,NOUN
d',de,ADP
alega,allegar,VERB
la,lo,DET
rasou,rason,NOUN
ambe,amb,ADP
l',lo,DET
esperienço,experiença,NOUN
:,:,PUNCT
qui,qui,PRON
nou,non,ADV
bey,véser,VERB
",",",",PUNCT
qu',que,SCON
un,un,DET
paure,paure,ADJ
paisan,paisan,NOUN
o,o,CCON
artisan,artisan,NOUN
",",",",PUNCT
quand,quand,SCON
auch,ausir,VERB
un,un,DET
Sermou,sermon,NOUN
en,en,ADP
Frances,francès,NOUN
",",",",PUNCT
se,el,PRON
trobo,trobar,VERB
à,a,ADP
mémo,mèma,DET
tens,temps,NOUN
en,en,ADP
dos,2,DET
penos,pena,NOUN
:,:,PUNCT
L',lo,DET
uno,un,PRON
de,de,ADP
coumprene,comprendre,VERB
le,lo,DET
sutjet,subjèct,NOUN
",",",",PUNCT
del,de+lo,ADP+DET
metis,meteis,ADV
relebat,relevar,VERB
dessus,dessús,ADP
so,çò,PRON
qu',qui,PRON
el,el,PRON
manejo,manejar,VERB
cado,cada,DET
joun,jorn,NOUN
.,.,PUNCT
L',lo,DET
autro,autre,PRON
d',de,ADP
entendre,entendre,VERB
aisadomen,aisadament,ADV
un,un,DET
lengatge,lengatge,NOUN
que,qui,PRON
nou,non,ADV
ly,el,PRON
-,-,PUNCT
es,èsser,VERB
pas,pas,ADV
familhé,familhièr,ADJ
?,?,PUNCT
Bela,veilà,VERB
perque,perque,SCON
en,en,ADP
un,un,DET
certén,certan,DET
endreit,endrech,NOUN
de,de,ADP
la,lo,DET
Gascouigno,Gasconha,PROPN
",",",",PUNCT
qu',qui,PRON
es,èsser,VERB
prou,pro,ADV
prêp,prep,ADV
de,de,ADP
Toulouso,Tolosa,PROPN
",",",",PUNCT
daban,davant,ADP
que,que,SCON
le,lo,DET
popple,pòble,NOUN
abesso,aver,VERB
l',lo,DET
aunou,onor,NOUN
d',de,ADP
augi,ausir,VERB
de,de,ADP
Sermous,sermon,NOUN
en,en,ADP
soun,son,DET
lengatge,lengatge,NOUN
:,:,PUNCT
quan,quand,SCON
lour,el,PRON
cailhô,caler,VERB
ana,anar,VERB
le,lo,DET
Dimenge,dimenge,NOUN
",",",",PUNCT
augi,ausir,VERB
le,lo,DET
segoun,segon,ADP
Sermou,sermon,NOUN
",",",",PUNCT
(,(,PUNCT
segoun,segon,ADP
la,lo,DET
coustumo,costuma,NOUN
del,de+lo,ADP+DET
loc,luòc,NOUN
",",",",PUNCT
oun,ont,PRON
se,el,PRON
fasiôn,far,VERB
doui,dos,DET
Sermous,sermon,NOUN
),),PUNCT
disiôn,dire,VERB
libromen,librament,ADV
:,:,PUNCT
é,e,CCON
que,qui,PRON
y,i,PRON
aniriôn,anar,VERB
hé,eh,INTJ
?,?,PUNCT
é,e,CCON
que,que,SCON
n',non,ADV
au,el,PRON
entenén,entenar,VERB
.,.,PUNCT
Aprép,aprèp,ADP
tout,tot,PRON
",",",",PUNCT
que,qui,PRON
qu',qui,PRON
on,òm,PRON
pésco,poder,VERB
dire,dire,VERB
;,;,PUNCT
la,lo,DET
mémo,mèma,DET
esperienço,experiença,NOUN
nous,nos,PRON
fa,far,VERB
bese,véser,VERB
é,e,CCON
augi,ausir,VERB
claromen,clarament,ADV
de,de,ADP
la,lo,DET
bouco,boca,NOUN
del,de+lo,ADP+DET
boun,bon,ADJ
popple,pòble,NOUN
",",",",PUNCT
qu',que,SCON
un,un,DET
Sermou,sermon,NOUN
fait,far,VERB
en,en,ADP
soun,son,DET
lengatje,lengatge,NOUN
",",",",PUNCT
ly,el,PRON
proufito,profitar,VERB
bélcop,bèl+còp,ADV
may,mai,ADV
",",",",PUNCT
é,e,CCON
ly,el,PRON
douno,donar,VERB
may,mai,ADV
d',de,ADP
istrucciu,instruccion,NOUN
é,e,CCON
d',de,ADP
edificaciu,edificacion,NOUN
",",",",PUNCT
que,que,ADV
bélcop,bèl+còp,DET
d',de,ADP
autres,autre,PRON
en,en,ADP
Frances,francès,NOUN
.,.,PUNCT
Acô,aquò,PRON
s',el,PRON
es,èsser,AUX
bist,véser,VERB
",",",",PUNCT
é,e,CCON
se,el,PRON
bey,véser,VERB
cado,cada,DET
joun,jorn,NOUN
",",",",PUNCT
MOUNSEIGNOU,monsenhor,NOUN
",",",",PUNCT
en,en,ADP
dibérsos,divèrs,ADJ
sortos,sòrta,NOUN
de,de,ADP
Missiu,mission,NOUN
",",",",PUNCT
que,qui,PRON
Bous,vos,PRON
fasét,far,VERB
fa,far,VERB
frequentomen,frequentament,ADV
din,dins,ADP
bostre,vòstre,DET
Diocése,diocèsi,NOUN
.,.,PUNCT
Talomen,talament,ADV
que,que,SCON
nou,non,ADV
-,-,PUNCT
y,i,PRON
pot,poder,VERB
abe,aver,VERB
cap,cap,PRON
de,de,ADP
sutjét,subjèct,NOUN
rasounable,rasonable,ADJ
de,de,ADP
doutta,dobtar,VERB
",",",",PUNCT
que,que,SCON
nou,non,ADV
siô,èsser,VERB
fort,fòrt,ADV
impourtant,important,ADJ
pe,per,ADP
-,-,PUNCT
l',lo,DET
salut,salut,NOUN
del,de+lo,ADP+DET
boun,bon,ADJ
popple,pòble,NOUN
Crestia,crestian,ADJ
",",",",PUNCT
de,de,ADP
l',lo,DET
endouctrina,endoctrinar,VERB
é,e,CCON
enseigna,ensenhar,VERB
tout,tot,DET
so,çò,PRON
que,qui,PRON
regardo,regardar,VERB
soun,son,DET
debe,dever,ADP
per,per,ADP
soun,son,DET
salut,salut,NOUN
",",",",PUNCT
en,en,ADP
lengo,lenga,NOUN
bulgario,vulgar,ADJ
.,.,PUNCT
Que,qui,SCON
s',el,PRON
aperastre,a+per+astre,ADV
se,el,PRON
trobo,trobar,VERB
qualqu',qualque,DET
esprit,esperit,NOUN
",",",",PUNCT
may,mai,ADV
estefignous,estefinhós,ADJ
que,que,ADV
jalous,jalós,ADJ
del,de+lo,ADP+DET
salut,salut,NOUN
de,de,ADP
las,lo,DET
Armos,arma,NOUN
",",",",PUNCT
que,qui,PRON
nou,non,ADV
pésco,poder,VERB
gousta,gostar,VERB
talos,tal,DET
inbencius,invecion,NOUN
de,de,ADP
la,lo,DET
caritat,caritat,NOUN
:,:,PUNCT
nou,non,ADV
cal,caler,VERB
pas,pas,ADV
sounquo,sonque,ADV
le,lo,PRON
prega,pregar,VERB
de,de,ADP
se,el,PRON
soubeni,sovenir,VERB
",",",",PUNCT
que,que,SCON
sa,son,DET
Teoulougio,teologia,NOUN
per,per,ADP
ta,tant,ADV
relebado,relevar,VERB
que,qui,PRON
siô,èsser,VERB
",",",",PUNCT
l',lo,DET
oubligo,obligar,VERB
à,a,ADP
creire,créser,VERB
",",",",PUNCT
que,que,SCON
le,lo,DET
Fil,filh,PROPN
de,de,ADP
Diu,Dieu,PROPN
mémo,mèma,ADV
",",",",PUNCT
qu',qui,PRON
es,èsser,VERB
la,lo,DET
Paraulo,paraula,NOUN
sustancialo,substància,NOUN
de,de,ADP
soun,son,DET
Payre,paire,NOUN
",",",",PUNCT
quan,quand,SCON
per,per,ADP
trop,tròp,ADV
de,de,ADP
caritat,caritat,NOUN
fourec,èsser,VERB
bengut,venir,VERB
al,a+lo,ADP+DET
mounde,monde,NOUN
",",",",PUNCT
el,el,PRON
que,qui,PRON
soul,sol,ADJ
sabiôé,saber,VERB
poudiô,poder,VERB
parla,parlar,VERB
le,lo,DET
dibin,divin,ADJ
lengatge,lengatge,NOUN
de,de,ADP
la,lo,DET
Santo,sant,ADV
Trinitat,trinitat,PROPN
",",",",PUNCT
(,(,PUNCT
que,que,SCON
degus,degus,PRON
n',non,ADV
abesso,aver,VERB
pouscut,poder,VERB
entendre,entendre,VERB
que,que,ADV
soun,son,DET
Payre,paire,NOUN
",",",",PUNCT
é,e,CCON
soun,son,DET
Santesprit,sant+esperit,PROPN
),),PUNCT
nou,non,ADV
dedeignéc,dedenhar,VERB
pas,pas,ADV
de,de,ADP
parla,parlar,VERB
al,a+lo,ADP+DET
lengatje,lengatge,NOUN
deis,de+lo,ADP+DET
omes,òme,NOUN
",",",",PUNCT
é,e,CCON
se,el,PRON
serbi,servir,VERB
d',de,ADP
uno,un,DET
paraulo,paraula,NOUN
",",",",PUNCT
et,e,CCON
d',de,ADP
uno,un,DET
lengo,lenga,NOUN
ta,tant,ADV
groussiéro,grossièr,ADJ
coumo,coma,ADV
le,lo,DET
cos,còs,NOUN
é,e,CCON
la,lo,DET
car,carn,NOUN
",",",",PUNCT
per,per,ADP
s',el,PRON
acoumouda,acomodar,VERB
à,a,ADP
la,lo,DET
capacitat,capacitat,NOUN
",",",",PUNCT
é,e,CCON
à,a,ADP
l',lo,DET
intelligenço,intelligença,NOUN
de,de,ADP
sous,son,DET
auditous,auditor,NOUN
coumpousadis,compausar,VERB
de,de,ADP
cos,còs,NOUN
é,e,CCON
de,de,ADP
car,carn,NOUN
.,.,PUNCT
Aquelo,aquel,DET
soubenenço,sovenença,NOUN
oubligara,obligar,VERB
talis,tal,DET
esprits,esperit,NOUN
",",",",PUNCT
à,a,ADP
éstre,èsser,VERB
satisfaits,satisfar,VERB
d',de,ADP
augi,ausir,VERB
dire,dire,VERB
",",",",PUNCT
que,que,SCON
le,lo,DET
Predicayre,predicaire,NOUN
des,de+lo,ADP+DET
paisans,paisan,NOUN
",",",",PUNCT
se,el,PRON
fasco,far,VERB
quant,quand,DET
al,a+lo,ADP+DET
lengatje,lengatge,NOUN
paisan,paisan,NOUN
",",",",PUNCT
é,e,CCON
simple,simple,ADJ
an,aver,VERB
les,lo,DET
simples,simple,NOUN
",",",",PUNCT
é,e,CCON
tout,tot,PRON
à,a,ADP
toutis,tot,PRON
",",",",PUNCT
per,per,ADP
lei,lo,DET
gaigna,ganhar,VERB
touts,tot,PRON
;,;,PUNCT
coumo,coma,ADV
fasiô,far,VERB
aquel,aquel,PRON
que,qui,PRON
per,per,ADP
excellenço,excelença,NOUN
porto,portar,VERB
le,lo,DET
titre,titre,NOUN
de,de,ADP
gran,grand,ADJ
Predicaire,predicaire,NOUN
",",",",PUNCT
deméi,demèst,ADP
les,lo,DET
Predicaires,predicaire,NOUN
",",",",PUNCT
sant,sant,ADJ
Pau,Pau,PROPN
.,.,PUNCT
Tout,tot,DET
aqueste,aqueste,DET
discours,discors,NOUN
nous,nos,PRON
enseigno,ensenhar,NOUN
",",",",PUNCT
que,que,SCON
bostre,vòstre,DET
zélo,zèl,NOUN
",",",",PUNCT
MOVNSEIGNOV,monsenhor,NOUN
",",",",PUNCT
n',non,ADV
es,èsser,VERB
que,que,ADV
fort,fòrt,ADV
lausable,lausable,ADJ
",",",",PUNCT
coumo,coma,ADV
tabe,tanben,ADV
n',non,ADV
es,èsser,VERB
Rom,Roma,PROPN
",",",",PUNCT
autre,autre,PRON
que,que,ADV
le,lo,PRON
que,qui,PRON
lauso,lausar,VERB
le,lo,DET
mémo,mèma,DET
Sant,sant,ADJ
Pau,Pau,PROPN
",",",",PUNCT
quan,quand,SCON
mespréso,mespresar,VERB
soun,son,DET
countrari,contrari,NOUN
.,.,PUNCT
Car,car,CCON
le,lo,DET
bostre,vòstre,PRON
es,èsser,VERB
un,un,DET
zélo,zèl,NOUN
sabent,saber,ADJ
",",",",PUNCT
o,o,CCON
